ID	Sex	Group	Year	Family	Sire	Dam	Group2	Age	Tag_weight	Tag_length	Mortal_Age	Mortal_bin	Mortal_DDM	Mortal_weight
CD2011000389	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.8	8.7	471	1	24	169
CD2011000390	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.4	8.4	471	1	16	181
CD2011000397	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.8	9	471	1	17	198
CD2011000398	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	5.9	8.2	471	1	18	169
CD2011000400	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.5	8.5	471	1	19	211
CD2011000406	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.4	8.5	471	1	24	133
CD2011000411	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	10.9	11	471	1	15	232
CD2011000412	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	9.8	9.5	471	1	18	171
CD2011000601	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	6.8	8.6	472	2	32	220
CD2011000605	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	7.3	8.6	472	1	19	141
CD2011000608	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	8.4	8.5	472	2	32	196
CD2011000609	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	6.4	8.3	472	2	32	184
CD2011000610	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	7.8	9	472	2	32	216
CD2011000775	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	9.2	8.7	471	2	32	151
CD2011000781	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	9.6	9.2	471	1	24	238
CD2011000818	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	7.4	8.5	471	2	32	276
CD2011000820	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	7.5	8.6	471	2	32	269
CD2011000821	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	5.9	7.8	471	2	32	113
CD2011000823	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	6.7	8.3	471	1	27	188
CD2011000825	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	7.2	8.5	471	2	32	384
CD2011000833	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	6.7	8.2	471	2	32	219
CD2011001007	I	48	2011	CD20110015	NL2008000009	CD2008009449	TK00210048I	191	10.2	9.2	462	1	23	149
CD2011001035	I	48	2011	CD20110015	NL2008000009	CD2008009449	TK00210048I	191	8.1	8.6	462	1	20	149
CD2011001043	I	48	2011	CD20110015	NL2008000009	CD2008009449	TK00210048I	191	7.7	8.2	462	1	15	184
CD2011001044	I	48	2011	CD20110015	NL2008000009	CD2008009449	TK00210048I	191	6.9	8.4	462	1	24	180
CD2011001045	I	48	2011	CD20110015	NL2008000009	CD2008009449	TK00210048I	191	6.1	8	462	1	14	181.2
CD2011001047	I	48	2011	CD20110015	NL2008000009	CD2008009449	TK00210048I	191	7.5	8.2	462	1	16	163
CD2011001252	I	48	2011	CD20110007	NL2008000001	CD2008003272	TK00210048I	202	8.5	9	472	1	14	132.3
CD2011001257	I	48	2011	CD20110007	NL2008000001	CD2008003272	TK00210048I	202	5.3	7.8	472	1	24	122
CD2011001258	I	48	2011	CD20110007	NL2008000001	CD2008003272	TK00210048I	202	7.4	8.4	472	1	15	138
CD2011001263	I	48	2011	CD20110007	NL2008000001	CD2008003272	TK00210048I	202	8.6	8.7	472	1	8	240.6
CD2011001266	I	48	2011	CD20110007	NL2008000001	CD2008003272	TK00210048I	202	7.9	8.5	472	2	32	208
CD2011001280	I	48	2011	CD20110007	NL2008000001	CD2008003272	TK00210048I	202	7.6	8	472	1	5	113.5
CD2011001293	I	48	2011	CD20110007	NL2008000001	CD2008003272	TK00210048I	202	7.5	8.3	472	2	32	163
CD2011001469	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	8.1	9	471	1	24	202
CD2011001471	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	9.2	9	471	1	11	207.6
CD2011001473	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	7	8.5	471	1	23	137
CD2011001474	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	8.8	9	471	1	21	169
CD2011001480	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	6.6	8.3	471	1	14	140.2
CD2011001482	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	10.6	9.5	471	1	20	150
CD2011001487	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	7.5	8.3	471	1	26	196
CD2011001488	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	7.3	8.4	471	1	19	155
CD2011001489	I	48	2011	CD20110044	NL2008000021	CD2008004850	TK00210048I	201	7.7	9	471	1	15	153
CD2011001653	I	48	2011	CD20110081	NL2008000038	CD2008011327	TK00210048I	201	8.1	8.7	471	1	20	149
CD2011001681	I	48	2011	CD20110081	NL2008000038	CD2008011327	TK00210048I	201	7.4	8.4	471	1	13	226.6
CD2011001686	I	48	2011	CD20110081	NL2008000038	CD2008011327	TK00210048I	201	8.3	8.6	471	1	29	128
CD2011001688	I	48	2011	CD20110081	NL2008000038	CD2008011327	TK00210048I	201	7.2	8	471	2	32	170
CD2011001693	I	48	2011	CD20110081	NL2008000038	CD2008011327	TK00210048I	201	7.4	8.3	471	2	32	262
CD2011001695	I	48	2011	CD20110081	NL2008000038	CD2008011327	TK00210048I	201	6.3	8	471	1	18	135
CD2011001717	I	48	2011	CD20110081	NL2008000038	CD2008011327	TK00210048I	201	8.8	9.2	471	2	32	237
CD2011001904	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	8	8.6	471	1	17	201
CD2011001905	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	6.9	8	471	1	12	146.5
CD2011001907	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	7.5	8.6	471	1	11	187
CD2011001908	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	9.6	9.3	471	1	14	166.2
CD2011001909	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	9.4	9.7	471	1	19	158
CD2011001911	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	8.1	8.5	471	1	24	214
CD2011001916	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	10.8	9.5	471	2	32	260
CD2011001917	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	7.4	8.5	471	2	32	259
CD2011001919	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	7.3	8.3	471	2	32	323
CD2011001920	I	48	2011	CD20110008	NL2008000005	CD2008002516	TK00210048I	201	7.6	8.6	471	1	20	132
CD2011002126	I	48	2011	CD20110001	NL2008000001	CD2008005263	TK00210048I	202	7.4	8.3	472	1	25	152
CD2011002132	I	48	2011	CD20110001	NL2008000001	CD2008005263	TK00210048I	202	8.4	8.5	472	1	6	167.2
CD2011002134	I	48	2011	CD20110001	NL2008000001	CD2008005263	TK00210048I	202	9.3	9	472	1	12	130.8
CD2011002150	I	48	2011	CD20110001	NL2008000001	CD2008005263	TK00210048I	202	10.8	8.9	472	2	32	299
CD2011002152	I	48	2011	CD20110001	NL2008000001	CD2008005263	TK00210048I	202	9.5	8.6	472	1	12	197.2
CD2011002164	I	48	2011	CD20110001	NL2008000001	CD2008005263	TK00210048I	202	8.9	9	472	2	32	291
CD2011002338	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	5.9	8.2	472	1	11	176
CD2011002339	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	8	8.5	472	2	32	234
CD2011002342	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	5.9	8	472	1	24	97
CD2011002344	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	4.9	7.5	472	1	20	145
CD2011002345	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	6.5	8	472	1	20	135
CD2011002346	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	7	8.5	472	2	32	177
CD2011002347	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	5.5	8	472	2	32	136
CD2011002350	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	5.6	8.1	472	1	19	162
CD2011002352	I	48	2011	CD20110022	NL2008000011	CD2008007990	TK00210048I	203	8	8.7	472	1	18	182
CD2011002555	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	8.4	9.2	471	2	32	184
CD2011002556	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	6.6	8.4	471	1	18	157
CD2011002557	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	7.8	8.8	471	1	14	218
CD2011002558	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	7.8	8.5	471	2	32	312
CD2011002564	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	5.3	8	471	1	30	132
CD2011002565	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	6	8	471	2	32	189
CD2011002569	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	6.4	8.1	471	1	15	138
CD2011002571	I	48	2011	CD20110090	NL2008000042	CD2008011788	TK00210048I	202	7.8	8.6	471	1	15	195
CD2011002772	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	5.9	8	471	1	15	134
CD2011002773	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	6.7	8	471	1	20	128
CD2011002775	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	7.2	8.3	471	1	11	179
CD2011002777	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	7.1	8.5	471	1	15	149
CD2011002778	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	7.1	9	471	1	15	133
CD2011002779	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	6.8	9	471	1	11	146.7
CD2011002781	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	8.6	8.6	471	1	15	134
CD2011002782	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	6.8	8.1	471	2	32	188
CD2011002783	I	48	2011	CD20110108	NL2008000044	CD2008007898	TK00210048I	202	8.9	8.9	471	1	14	178.5
CD2011002988	I	48	2011	CD20110046	NL2008000021	CD2008010547	TK00210048I	202	7.9	9.4	471	2	32	166
CD2011002989	I	48	2011	CD20110046	NL2008000021	CD2008010547	TK00210048I	202	9	9.8	471	1	15	204.1
CD2011002997	I	48	2011	CD20110046	NL2008000021	CD2008010547	TK00210048I	202	6.9	8.8	471	1	18	156
CD2011003000	I	48	2011	CD20110046	NL2008000021	CD2008010547	TK00210048I	202	7.8	9.2	471	1	30	188
CD2011003002	I	48	2011	CD20110046	NL2008000021	CD2008010547	TK00210048I	202	9	9.7	471	1	29	181
CD2011003009	I	48	2011	CD20110046	NL2008000021	CD2008010547	TK00210048I	202	8.1	9.4	471	1	23	178
CD2011003029	I	48	2011	CD20110046	NL2008000021	CD2008010547	TK00210048I	202	8.1	9.2	471	1	14	208.7
CD2011003205	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	6.6	8.4	471	2	32	184
CD2011003207	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	7.7	9	471	1	16	137
CD2011003208	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	6.9	8.9	471	1	16	154
CD2011003210	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	6.8	8.5	471	2	32	254
CD2011003211	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	6.1	8.5	471	2	32	157
CD2011003213	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	8	8.9	471	1	18	144
CD2011003215	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	7.1	8.6	471	1	11	158
CD2011003216	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	7.3	8.6	471	1	14	157.4
CD2011003217	I	48	2011	CD20110093	NL2008000044	CD2008001401	TK00210048I	202	5.8	8	471	1	26	99
CD2011003424	I	48	2011	CD20110048	NL2008000023	CD2008010229	TK00210048I	202	8.4	9.2	471	1	14	223.8
CD2011003430	I	48	2011	CD20110048	NL2008000023	CD2008010229	TK00210048I	202	7.5	9	471	1	11	155
CD2011003439	I	48	2011	CD20110048	NL2008000023	CD2008010229	TK00210048I	202	6.4	8.6	471	1	15	201
CD2011003444	I	48	2011	CD20110048	NL2008000023	CD2008010229	TK00210048I	202	6.8	8.5	471	1	16	163
CD2011003445	I	48	2011	CD20110048	NL2008000023	CD2008010229	TK00210048I	202	6.7	8.9	471	1	21	177
CD2011003446	I	48	2011	CD20110048	NL2008000023	CD2008010229	TK00210048I	202	6.4	8.5	471	1	13	183
CD2011003455	I	48	2011	CD20110048	NL2008000023	CD2008010229	TK00210048I	202	7.3	8.9	471	2	32	259
CD2011003641	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	5.2	7.9	471	1	12	171.8
CD2011003643	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	8.1	9.3	471	2	32	154
CD2011003645	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	6.8	8.6	471	1	16	145
CD2011003646	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	5.3	8.4	471	2	32	127
CD2011003648	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	8.2	9.1	471	2	32	188
CD2011003649	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	7.7	8.2	471	1	18	103
CD2011003650	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	5.9	8.3	471	1	21	181
CD2011003651	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	9.6	9.5	471	2	32	209
CD2011003654	I	48	2011	CD20110094	NL2008000045	CD2008001678	TK00210048I	202	7.8	8.9	471	1	25	110
CD2011003862	I	48	2011	CD20110100	NL2008000047	CD2008009171	TK00210048I	202	6.1	8.3	471	2	32	250
CD2011003864	I	48	2011	CD20110100	NL2008000047	CD2008009171	TK00210048I	202	5.7	8	471	2	32	152
CD2011003866	I	48	2011	CD20110100	NL2008000047	CD2008009171	TK00210048I	202	5.6	8	471	2	32	132
CD2011003868	I	48	2011	CD20110100	NL2008000047	CD2008009171	TK00210048I	202	6	8.5	471	1	14	180
CD2011003874	I	48	2011	CD20110100	NL2008000047	CD2008009171	TK00210048I	202	6.8	8.4	471	1	15	199
CD2011004073	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	6.8	8.2	472	2	32	257
CD2011004078	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	7.6	8.6	472	1	14	171.7
CD2011004079	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	8.5	9	472	1	27	172
CD2011004080	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	6.5	8	472	1	15	234
CD2011004081	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	7.6	8.4	472	1	14	217
CD2011004082	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	7.7	9	472	2	32	260
CD2011004085	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	7.3	8.6	472	2	32	207
CD2011004087	I	48	2011	CD20110065	NL2008000003	CD2008000067	TK00210048I	203	7.2	8.5	472	2	32	198
CD2011004290	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	6.4	8.3	462	1	18	218
CD2011004291	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	6.9	8.3	462	1	15	101
CD2011004293	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	7.1	8.5	462	1	21	204
CD2011004297	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	7.7	8.7	462	1	11	110
CD2011004299	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	6.4	8	462	1	12	123.5
CD2011004302	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	8.2	9	462	1	15	168
CD2011004303	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	8.6	9	462	1	26	237
CD2011004305	I	48	2011	CD20110069	NL2008000031	CD2008005295	TK00210048I	194	7.8	8.8	462	1	12	205
CD2011004508	I	48	2011	CD20110006	NL2008000005	CD2008007424	TK00210048I	203	8.2	9	471	2	32	170
CD2011004510	I	48	2011	CD20110006	NL2008000005	CD2008007424	TK00210048I	203	7.7	9.1	471	1	13	156.9
CD2011004511	I	48	2011	CD20110006	NL2008000005	CD2008007424	TK00210048I	203	8.5	9.3	471	1	15	126
CD2011004513	I	48	2011	CD20110006	NL2008000005	CD2008007424	TK00210048I	203	9.4	8.8	471	1	15	168
CD2011004517	I	48	2011	CD20110006	NL2008000005	CD2008007424	TK00210048I	203	8.6	8.5	471	1	11	185.5
CD2011004518	I	48	2011	CD20110006	NL2008000005	CD2008007424	TK00210048I	203	5.5	7.3	471	1	17	204
CD2011004522	I	48	2011	CD20110006	NL2008000005	CD2008007424	TK00210048I	203	7.8	8.8	471	1	5	107.4
CD2011004676	I	48	2011	CD20110043	NL2008000020	CD2008009244	TK00210048I	204	9.8	8.5	472	1	19	180
CD2011004681	I	48	2011	CD20110043	NL2008000020	CD2008009244	TK00210048I	204	10	9	472	1	17	235
CD2011004731	I	48	2011	CD20110043	NL2008000020	CD2008009244	TK00210048I	204	6.2	7.5	472	1	11	121
CD2011004732	I	48	2011	CD20110043	NL2008000020	CD2008009244	TK00210048I	204	7.8	8.4	472	1	20	142
CD2011004736	I	48	2011	CD20110043	NL2008000020	CD2008009244	TK00210048I	204	10.2	9.2	472	1	24	253
CD2011004739	I	48	2011	CD20110043	NL2008000020	CD2008009244	TK00210048I	204	5.9	7.5	472	1	18	153
CD2011004746	I	48	2011	CD20110043	NL2008000020	CD2008009244	TK00210048I	204	6.3	8	472	1	11	128.6
CD2011004942	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	7.6	8.6	472	1	26	165
CD2011004944	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	6.6	8.5	472	2	32	184
CD2011004946	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	6.4	8	472	1	20	110
CD2011004948	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	7.5	8.7	472	1	25	144
CD2011004949	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	8.8	9	472	2	32	263
CD2011004952	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	7.3	8.4	472	2	32	237
CD2011004954	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	7.3	9	472	2	32	200
CD2011004955	I	48	2011	CD20110051	NL2008000020	CD2008001425	TK00210048I	204	7.7	9	472	1	13	162.2
CD2011005159	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	6	8.6	471	1	22	105
CD2011005161	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	6.9	8.6	471	2	32	159
CD2011005162	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	5.3	8.1	471	1	18	159
CD2011005169	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	7.6	8.8	471	1	23	151
CD2011005176	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	6.4	8.6	471	2	32	150
CD2011005181	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	5.5	8	471	1	18	155
CD2011005184	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	5.5	8.4	471	2	32	117
CD2011005187	I	48	2011	CD20110064	NL2008000028	CD2008005869	TK00210048I	203	5.4	8	471	2	32	161
CD2011005375	I	48	2011	CD20110009	NL2008000006	CD2008008764	TK00210048I	204	7.5	8.8	472	2	32	267
CD2011005376	I	48	2011	CD20110009	NL2008000006	CD2008008764	TK00210048I	204	6.7	8.7	472	1	11	111
CD2011005377	I	48	2011	CD20110009	NL2008000006	CD2008008764	TK00210048I	204	5.8	8.1	472	2	32	148
CD2011005378	I	48	2011	CD20110009	NL2008000006	CD2008008764	TK00210048I	204	6.1	8.4	472	1	30	122
CD2011005380	I	48	2011	CD20110009	NL2008000006	CD2008008764	TK00210048I	204	7	8.6	472	1	25	207
CD2011005384	I	48	2011	CD20110009	NL2008000006	CD2008008764	TK00210048I	204	6.9	8.6	472	1	29	94
CD2011005391	I	48	2011	CD20110009	NL2008000006	CD2008008764	TK00210048I	204	7.2	8.7	472	1	28	102
CD2011005592	I	48	2011	CD20110053	NL2008000025	CD2008005048	TK00210048I	204	8.6	9.5	472	2	32	199
CD2011005594	I	48	2011	CD20110053	NL2008000025	CD2008005048	TK00210048I	204	8.3	9.3	472	2	32	155
CD2011005598	I	48	2011	CD20110053	NL2008000025	CD2008005048	TK00210048I	204	8.2	8.7	472	2	32	273
CD2011005600	I	48	2011	CD20110053	NL2008000025	CD2008005048	TK00210048I	204	8.5	9.9	472	2	32	222
CD2011005602	I	48	2011	CD20110053	NL2008000025	CD2008005048	TK00210048I	204	6.6	8.5	472	2	32	180
CD2011005605	I	48	2011	CD20110053	NL2008000025	CD2008005048	TK00210048I	204	7.9	8.7	472	2	32	154
CD2011005606	I	48	2011	CD20110053	NL2008000025	CD2008005048	TK00210048I	204	7.5	9.1	472	2	32	106
CD2011005810	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	6.4	8.3	471	1	18	176
CD2011005811	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	7.4	8.6	471	1	17	164
CD2011005815	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	9.3	9.4	471	1	24	181
CD2011005816	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	8.3	8.5	471	1	13	150.4
CD2011005817	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	6.4	8	471	2	32	166
CD2011005819	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	8.6	8.6	471	1	14	162.7
CD2011005820	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	7.3	8.2	471	1	12	164
CD2011005828	I	48	2011	CD20110097	NL2008000046	CD2008001103	TK00210048I	204	7.2	8.6	471	1	13	178.6
CD2011006042	I	48	2011	CD20110004	NL2008000001	CD2008010525	TK00210048I	205	8	8.9	472	2	32	167
CD2011006046	I	48	2011	CD20110004	NL2008000001	CD2008010525	TK00210048I	205	7.2	8.5	472	2	32	156
CD2011006054	I	48	2011	CD20110004	NL2008000001	CD2008010525	TK00210048I	205	7.4	8.9	472	1	29	135
CD2011006063	I	48	2011	CD20110004	NL2008000001	CD2008010525	TK00210048I	205	8.8	9.3	472	1	23	163
CD2011006244	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	10.8	9.6	472	1	18	193
CD2011006245	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	9.1	9.1	472	2	32	215
CD2011006246	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	9.1	9.2	472	2	32	229
CD2011006247	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	7.1	8.5	472	2	32	112
CD2011006248	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	10.3	9.6	472	2	32	266
CD2011006250	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	8.4	9.2	472	1	21	195
CD2011006251	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	8.4	8.6	472	1	14	129.7
CD2011006253	I	48	2011	CD20110058	NL2008000025	CD2008004539	TK00210048I	205	9.1	9.2	472	2	32	262
CD2011006461	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	10	9.5	471	1	16	173
CD2011006462	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	8.5	9.1	471	2	32	157
CD2011006465	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	7.9	9.1	471	2	32	256
CD2011006466	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	8	8.9	471	2	32	150
CD2011006467	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	9.3	9.2	471	1	12	168
CD2011006468	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	8.2	9.2	471	1	11	182.1
CD2011006470	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	8.1	8.9	471	1	15	220
CD2011006471	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	4.8	7.6	471	2	32	285
CD2011006474	I	48	2011	CD20110096	NL2008000045	CD2008004307	TK00210048I	204	7.3	8.8	471	1	14	150
CD2011006679	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	6.9	8.8	471	1	16	147
CD2011006680	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	7.3	8.9	471	2	32	256
CD2011006682	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	9.7	9.5	471	1	10	185.3
CD2011006687	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	8.8	9.1	471	1	19	117
CD2011006688	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	8.5	9.1	471	2	32	160
CD2011006689	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	8.3	8.3	471	1	15	146
CD2011006691	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	8.6	8.6	471	1	18	137
CD2011006692	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	9.7	9.3	471	1	21	150
CD2011006695	I	48	2011	CD20110070	NL2008000032	CD2008009740	TK00210048I	204	7.4	8.6	471	1	27	162
CD2011006894	I	48	2011	CD20110017	NL2008000007	CD2008005405	TK00210048I	205	8	8.9	471	1	11	196.9
CD2011006906	I	48	2011	CD20110017	NL2008000007	CD2008005405	TK00210048I	205	7.9	9	471	1	12	155
CD2011006907	I	48	2011	CD20110017	NL2008000007	CD2008005405	TK00210048I	205	6.7	8.5	471	2	32	188
CD2011006911	I	48	2011	CD20110017	NL2008000007	CD2008005405	TK00210048I	205	8	8.8	471	1	14	235
CD2011006913	I	48	2011	CD20110017	NL2008000007	CD2008005405	TK00210048I	205	5.9	8.3	471	1	13	169.3
CD2011006917	I	48	2011	CD20110017	NL2008000007	CD2008005405	TK00210048I	205	6.5	8.4	471	1	12	161.9
CD2011007112	I	48	2011	CD20110002	NL2008000002	CD2008009475	TK00210048I	196	9.9	9.2	462	1	14	137
CD2011007115	I	48	2011	CD20110002	NL2008000002	CD2008009475	TK00210048I	196	6.6	8.2	462	1	11	138.3
CD2011007117	I	48	2011	CD20110002	NL2008000002	CD2008009475	TK00210048I	196	7.1	8.1	462	1	15	138
